연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수,지점번호,관측도시,일평균기온(°C),일합계강수량(mm),일평균풍속(m/s),일평균상대습도(%),game_no
2024,2024-05-08,,2024-05-08,수,평일,5,19,롯데,한화,사직,부산,11407,159,부산,13.4,0.0,3.1,70.5,1
2024,2024-05-08,,2024-05-08,수,평일,5,19,삼성,KIA,대구,대구,15421,143,대구,13.0,1.0,2.2,70.0,1
2024,2024-05-08,,2024-05-08,수,평일,5,19,키움,두산,고척,서울_고척,6405,108,서울,14.7,0.0,2.3,58.8,1
2024,2024-05-09,,2024-05-09,목,평일,5,19,KT,NC,수원,경기_수원,6369,119,수원,15.2,0.0,2.3,63.9,1
2024,2024-05-09,,2024-05-09,목,평일,5,19,LG,SSG,잠실,서울_잠실,16823,108,서울,16.1,0.0,2.9,63.6,1
2024,2024-05-09,,2024-05-09,목,평일,5,19,롯데,한화,사직,부산,12774,159,부산,15.7,0.0,3.6,65.4,1
2024,2024-05-09,,2024-05-09,목,평일,5,19,삼성,KIA,대구,대구,16769,143,대구,16.8,0.0,2.0,56.3,1
2024,2024-05-09,,2024-05-09,목,평일,5,19,키움,두산,고척,서울_고척,8658,108,서울,16.1,0.0,2.9,63.6,1
2024,2024-05-10,,2024-05-10,금,평일,5,19,KIA,SSG,광주,광주,18895,156,광주,18.1,0.0,1.6,63.6,1
2024,2024-05-10,,2024-05-10,금,평일,5,19,NC,삼성,창원,경남_창원,12438,155,창원,18.5,0.0,1.9,57.8,1
2024,2024-05-10,,2024-05-10,금,평일,5,19,두산,KT,잠실,서울_잠실,13013,108,서울,17.9,0.0,2.6,55.6,1
2024,2024-05-10,,2024-05-10,금,평일,5,19,롯데,LG,사직,부산,15731,159,부산,19.0,0.0,4.5,52.5,1
2024,2024-05-10,,2024-05-10,금,평일,5,19,한화,키움,한밭,기타,12000,133,대전,17.9,0.0,1.8,51.1,1
2024,2024-05-11,,2024-05-11,토,주말,5,19,NC,삼성,창원,경남_창원,17891,155,창원,19.3,2.9,3.3,80.4,1
2024,2024-05-11,,2024-05-11,토,주말,5,19,롯데,LG,사직,부산,22758,159,부산,18.8,0.5,6.5,83.3,1
2024,2024-05-11,,2024-05-11,토,주말,5,19,한화,키움,한밭,기타,12000,133,대전,18.9,8.5,2.9,69.3,1
2024,2024-05-12,,2024-05-12,일,주말,5,19,KIA,SSG,광주,광주,20500,156,광주,17.3,8.8,1.7,63.3,1
2024,2024-05-12,,2024-05-12,일,주말,5,19,KIA,SSG,광주,광주,12743,156,광주,17.3,8.8,1.7,63.3,2
2024,2024-05-12,,2024-05-12,일,주말,5,19,NC,삼성,창원,경남_창원,16181,155,창원,19.4,11.7,1.4,61.9,1
