연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수,지점번호,관측도시,일평균기온(°C),일합계강수량(mm),일평균풍속(m/s),일평균상대습도(%)
2025,2025-04-13,,2025-04-13,일,주말,4,15,NC,롯데,사직,부산,21003,159,부산,9.8,21.5,7.1,50.3
2025,2025-04-13,,2025-04-13,일,주말,4,15,LG,두산,잠실,서울_잠실,23750,108,서울,5.5,4.2,4.2,71.1
2025,2025-04-13,,2025-04-13,일,주말,4,15,KIA,SSG,광주,광주,20500,156,광주,7.5,0.9,3.1,59.9
2025,2025-04-13,,2025-04-13,일,주말,4,15,KT,삼성,수원,경기_수원,18700,119,수원,5.6,4.3,3.9,69.5
2025,2025-04-13,,2025-04-13,일,주말,4,15,한화,키움,대전,대전,17000,133,대전,5.8,5.2,2.5,68.1
2025,2025-04-15,,2025-04-15,화,평일,4,16,SSG,한화,문학,인천,15618,112,인천,7.7,,3.5,77.4
2025,2025-04-15,,2025-04-15,화,평일,4,16,KIA,KT,광주,광주,10979,156,광주,9.7,0.4,1.6,64.4
2025,2025-04-15,,2025-04-15,화,평일,4,16,LG,삼성,잠실,서울_잠실,23750,108,서울,8.2,,2.7,70.3
2025,2025-04-15,,2025-04-15,화,평일,4,16,롯데,키움,사직,부산,9714,159,부산,10.9,,4.2,53.9
2025,2025-04-16,,2025-04-16,수,평일,4,16,SSG,한화,문학,인천,16785,112,인천,14.1,,3.6,63.6
2025,2025-04-16,,2025-04-16,수,평일,4,16,KIA,KT,광주,광주,12423,156,광주,15.8,,1.9,60.0
2025,2025-04-16,,2025-04-16,수,평일,4,16,LG,삼성,잠실,서울_잠실,23750,108,서울,14.6,,2.5,58.0
2025,2025-04-16,,2025-04-16,수,평일,4,16,롯데,키움,사직,부산,11679,159,부산,14.4,,4.1,59.9
2025,2025-04-17,,2025-04-17,목,평일,4,16,SSG,한화,문학,인천,18098,112,인천,17.6,,3.8,74.5
2025,2025-04-17,,2025-04-17,목,평일,4,16,KIA,KT,광주,광주,12104,156,광주,20.6,,3.0,67.5
2025,2025-04-17,,2025-04-17,목,평일,4,16,LG,삼성,잠실,서울_잠실,23750,108,서울,19.7,,2.6,63.5
2025,2025-04-17,,2025-04-17,목,평일,4,16,롯데,키움,사직,부산,11812,159,부산,16.9,,6.8,85.5
2025,2025-04-18,,2025-04-18,금,평일,4,16,두산,KIA,잠실,서울_잠실,23750,108,서울,18.6,,2.4,67.9
2025,2025-04-18,,2025-04-18,금,평일,4,16,키움,KT,고척,서울_고척,4666,108,서울,18.6,,2.4,67.9
2025,2025-04-18,,2025-04-18,금,평일,4,16,SSG,LG,문학,인천,18091,112,인천,14.7,,2.4,82.9
2025,2025-04-18,,2025-04-18,금,평일,4,16,삼성,롯데,대구,대구,24000,143,대구,21.7,,1.7,65.3
2025,2025-04-18,,2025-04-18,금,평일,4,16,한화,NC,대전,대전,17000,133,대전,21.4,,2.6,63.5
2025,2025-04-19,,2025-04-19,토,주말,4,16,두산,KIA,잠실,서울_잠실,23750,108,서울,15.3,9.2,3.0,89.1
2025,2025-04-19,,2025-04-19,토,주말,4,16,키움,KT,고척,서울_고척,8281,108,서울,15.3,9.2,3.0,89.1
2025,2025-04-19,,2025-04-19,토,주말,4,16,SSG,LG,문학,인천,18727,112,인천,13.4,10.2,3.5,96.9
2025,2025-04-19,,2025-04-19,토,주말,4,16,삼성,롯데,대구,대구,24000,143,대구,21.4,,2.0,65.6
2025,2025-04-19,,2025-04-19,토,주말,4,16,한화,NC,대전,대전,17000,133,대전,20.8,4.2,2.4,70.5
2025,2025-04-20,,2025-04-20,일,주말,4,16,두산,KIA,잠실,서울_잠실,23750,108,서울,16.7,,1.7,70.0
