연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수,지점번호,관측도시,일평균기온(°C),일합계강수량(mm),일평균풍속(m/s),일평균상대습도(%)
2024,2024-04-09,,2024-04-09,화,평일,4,15,KIA,LG,광주,광주,11817,156,광주,15.8,,2.1,64.8
2024,2024-04-09,,2024-04-09,화,평일,4,15,롯데,삼성,사직,부산,15076,159,부산,13.5,,4.0,54.4
2024,2024-04-09,,2024-04-09,화,평일,4,15,SSG,키움,문학,인천,9468,112,인천,14.6,,3.6,39.9
2024,2024-04-10,,2024-04-10,수,평일,4,15,두산,한화,잠실,서울_잠실,23750,108,서울,13.8,,2.6,62.6
2024,2024-04-10,,2024-04-10,수,평일,4,15,NC,KT,창원,경남_창원,9895,155,창원,12.0,,2.0,62.1
2024,2024-04-10,,2024-04-10,수,평일,4,15,KIA,LG,광주,광주,20500,156,광주,15.4,,1.4,66.8
2024,2024-04-10,,2024-04-10,수,평일,4,15,롯데,삼성,사직,부산,22758,159,부산,12.3,,2.7,61.5
2024,2024-04-10,,2024-04-10,수,평일,4,15,SSG,키움,문학,인천,20511,112,인천,12.6,,2.8,69.6
2024,2024-04-11,,2024-04-11,목,평일,4,15,두산,한화,잠실,서울_잠실,22157,108,서울,15.5,,1.8,61.0
2024,2024-04-11,,2024-04-11,목,평일,4,15,NC,KT,창원,경남_창원,3311,155,창원,14.0,,1.2,72.5
2024,2024-04-11,,2024-04-11,목,평일,4,15,KIA,LG,광주,광주,11475,156,광주,16.1,,1.1,74.1
2024,2024-04-11,,2024-04-11,목,평일,4,15,롯데,삼성,사직,부산,11628,159,부산,14.6,,2.5,71.3
2024,2024-04-11,,2024-04-11,목,평일,4,15,SSG,키움,문학,인천,7250,112,인천,14.4,,1.5,65.0
2024,2024-04-12,,2024-04-12,금,평일,4,15,한화,KIA,한밭,기타,12000,133,대전,17.5,,1.4,55.6
2024,2024-04-12,,2024-04-12,금,평일,4,15,두산,LG,잠실,서울_잠실,19916,108,서울,17.2,,2.1,59.6
2024,2024-04-12,,2024-04-12,금,평일,4,15,키움,롯데,고척,서울_고척,8838,108,서울,17.2,,2.1,59.6
2024,2024-04-12,,2024-04-12,금,평일,4,15,삼성,NC,대구,대구,13104,143,대구,18.0,,1.1,55.1
2024,2024-04-12,,2024-04-12,금,평일,4,15,KT,SSG,수원,경기_수원,6912,119,수원,16.0,,1.5,66.3
2024,2024-04-13,,2024-04-13,토,주말,4,15,한화,KIA,한밭,기타,12000,133,대전,19.3,,1.4,46.9
2024,2024-04-13,,2024-04-13,토,주말,4,15,두산,LG,잠실,서울_잠실,23750,108,서울,19.1,,1.9,52.4
2024,2024-04-13,,2024-04-13,토,주말,4,15,키움,롯데,고척,서울_고척,14197,108,서울,19.1,,1.9,52.4
2024,2024-04-13,,2024-04-13,토,주말,4,15,삼성,NC,대구,대구,24000,143,대구,19.5,,1.5,50.3
2024,2024-04-13,,2024-04-13,토,주말,4,15,KT,SSG,수원,경기_수원,13995,119,수원,16.9,,1.5,62.3
2024,2024-04-14,,2024-04-14,일,주말,4,15,한화,KIA,한밭,기타,12000,133,대전,20.3,,1.4,45.3
2024,2024-04-14,,2024-04-14,일,주말,4,15,두산,LG,잠실,서울_잠실,22586,108,서울,20.8,,1.9,47.1
2024,2024-04-14,,2024-04-14,일,주말,4,15,키움,롯데,고척,서울_고척,12333,108,서울,20.8,,1.9,47.1
2024,2024-04-14,,2024-04-14,일,주말,4,15,삼성,NC,대구,대구,20667,143,대구,19.7,,2.1,45.6
2024,2024-04-14,,2024-04-14,일,주말,4,15,KT,SSG,수원,경기_수원,11280,119,수원,18.6,,1.4,52.1
2024,2024-04-16,,2024-04-16,화,평일,4,16,NC,한화,창원,경남_창원,4658,155,창원,17.4,,1.4,73.1
2024,2024-04-16,,2024-04-16,화,평일,4,16,SSG,KIA,문학,인천,12712,112,인천,10.7,2.3,2.5,94.1
2024,2024-04-16,,2024-04-16,화,평일,4,16,키움,KT,고척,서울_고척,2877,108,서울,13.3,2.3,2.5,82.6
2024,2024-04-16,,2024-04-16,화,평일,4,16,LG,롯데,잠실,서울_잠실,16635,108,서울,13.3,2.3,2.5,82.6
2024,2024-04-16,,2024-04-16,화,평일,4,16,삼성,두산,대구,대구,7793,143,대구,18.0,,2.4,59.6
2024,2024-04-17,,2024-04-17,수,평일,4,16,NC,한화,창원,경남_창원,9921,155,창원,15.8,,2.0,55.6
2024,2024-04-17,,2024-04-17,수,평일,4,16,SSG,KIA,문학,인천,16062,112,인천,12.1,,1.9,77.1
2024,2024-04-17,,2024-04-17,수,평일,4,16,키움,KT,고척,서울_고척,3272,108,서울,15.0,,2.2,65.3
2024,2024-04-17,,2024-04-17,수,평일,4,16,LG,롯데,잠실,서울_잠실,16509,108,서울,15.0,,2.2,65.3
2024,2024-04-17,,2024-04-17,수,평일,4,16,삼성,두산,대구,대구,8393,143,대구,17.0,,1.7,52.5
2024,2024-04-18,,2024-04-18,목,평일,4,16,SSG,KIA,문학,인천,14263,112,인천,14.5,,2.4,65.9
2024,2024-04-18,,2024-04-18,목,평일,4,16,키움,KT,고척,서울_고척,2901,108,서울,17.3,,2.2,53.3
2024,2024-04-18,,2024-04-18,목,평일,4,16,LG,롯데,잠실,서울_잠실,18200,108,서울,17.3,,2.2,53.3
2024,2024-04-18,,2024-04-18,목,평일,4,16,삼성,두산,대구,대구,8697,143,대구,18.0,,1.9,52.5
2024,2024-04-19,,2024-04-19,금,평일,4,16,롯데,KT,사직,부산,10636,159,부산,17.9,,3.2,59.1
2024,2024-04-19,,2024-04-19,금,평일,4,16,SSG,LG,문학,인천,14097,112,인천,15.3,,2.4,60.9
2024,2024-04-19,,2024-04-19,금,평일,4,16,KIA,NC,광주,광주,16889,156,광주,19.1,,0.9,50.8
2024,2024-04-19,,2024-04-19,금,평일,4,16,한화,삼성,한밭,기타,12000,133,대전,18.2,,1.4,45.4
2024,2024-04-19,,2024-04-19,금,평일,4,16,두산,키움,잠실,서울_잠실,10649,108,서울,17.6,,2.1,51.8
2024,2024-04-20,,2024-04-20,토,주말,4,16,KIA,NC,광주,광주,17462,156,광주,16.5,10.0,1.5,85.1
2024,2024-04-20,,2024-04-20,토,주말,4,16,한화,삼성,한밭,기타,12000,133,대전,14.1,3.5,2.0,78.6
2024,2024-04-21,,2024-04-21,일,주말,4,16,롯데,KT,사직,부산,14423,159,부산,15.8,2.1,3.1,87.6
2024,2024-04-21,,2024-04-21,일,주말,4,16,롯데,KT,사직,부산,7582,159,부산,15.8,2.1,3.1,87.6
2024,2024-04-21,,2024-04-21,일,주말,4,16,SSG,LG,문학,인천,19858,112,인천,16.9,,3.7,66.5
2024,2024-04-21,,2024-04-21,일,주말,4,16,SSG,LG,문학,인천,9656,112,인천,16.9,,3.7,66.5
2024,2024-04-21,,2024-04-21,일,주말,4,16,KIA,NC,광주,광주,20500,156,광주,15.6,2.8,0.6,99.0
2024,2024-04-21,,2024-04-21,일,주말,4,16,한화,삼성,한밭,기타,12000,133,대전,16.2,0.1,2.7,72.0
2024,2024-04-21,,2024-04-21,일,주말,4,16,두산,키움,잠실,서울_잠실,13745,108,서울,17.2,,3.8,65.5
2024,2024-04-21,,2024-04-21,일,주말,4,16,두산,키움,잠실,서울_잠실,6197,108,서울,17.2,,3.8,65.5
2024,2024-04-23,,2024-04-23,화,평일,4,17,KT,한화,수원,경기_수원,10887,119,수원,16.3,0.3,2.6,
2024,2024-04-23,,2024-04-23,화,평일,4,17,키움,KIA,고척,서울_고척,10205,108,서울,17.3,,3.6,55.0
2024,2024-04-23,,2024-04-23,화,평일,4,17,삼성,LG,대구,대구,7494,143,대구,14.0,4.5,4.1,72.8
2024,2024-04-23,,2024-04-23,화,평일,4,17,두산,NC,잠실,서울_잠실,5664,108,서울,17.3,,3.6,55.0
2024,2024-04-24,,2024-04-24,수,평일,4,17,KT,한화,수원,경기_수원,12538,119,수원,13.1,18.4,2.5,77.9
2024,2024-04-24,,2024-04-24,수,평일,4,17,키움,KIA,고척,서울_고척,11048,108,서울,13.2,9.0,3.0,80.1
2024,2024-04-24,,2024-04-24,수,평일,4,17,삼성,LG,대구,대구,10159,143,대구,14.2,1.9,2.0,74.9
