연도,경기날짜,경기시간,경기일시,요일,평일_주말,월,주차_ISO,홈팀,방문팀,구장,기상_매핑_지역키,관중수
2025,2025-04-25,,2025-04-25,금,평일,4,17,두산,롯데,잠실,서울_잠실,23750
2025,2025-04-25,,2025-04-25,금,평일,4,17,삼성,NC,대구,대구,24000
2025,2025-04-25,,2025-04-25,금,평일,4,17,SSG,키움,문학,인천,12140
2025,2025-04-26,,2025-04-26,토,주말,4,17,한화,KT,대전,대전,17000
2025,2025-04-26,,2025-04-26,토,주말,4,17,KIA,LG,광주,광주,20500
2025,2025-04-26,,2025-04-26,토,주말,4,17,두산,롯데,잠실,서울_잠실,23750
2025,2025-04-26,,2025-04-26,토,주말,4,17,삼성,NC,대구,대구,24000
2025,2025-04-26,,2025-04-26,토,주말,4,17,SSG,키움,문학,인천,18641
2025,2025-04-27,,2025-04-27,일,주말,4,17,한화,KT,대전,대전,17000
2025,2025-04-27,,2025-04-27,일,주말,4,17,KIA,LG,광주,광주,20500
2025,2025-04-27,,2025-04-27,일,주말,4,17,두산,롯데,잠실,서울_잠실,23750
2025,2025-04-27,,2025-04-27,일,주말,4,17,삼성,NC,대구,대구,24000
2025,2025-04-27,,2025-04-27,일,주말,4,17,SSG,키움,문학,인천,16422
2025,2025-04-29,,2025-04-29,화,평일,4,18,두산,KT,잠실,서울_잠실,14138
2025,2025-04-29,,2025-04-29,화,평일,4,18,한화,LG,대전,대전,17000
2025,2025-04-29,,2025-04-29,화,평일,4,18,키움,롯데,고척,서울_고척,13203
2025,2025-04-29,,2025-04-29,화,평일,4,18,KIA,NC,광주,광주,10575
2025,2025-04-29,,2025-04-29,화,평일,4,18,SSG,삼성,문학,인천,15481
2025,2025-04-30,,2025-04-30,수,평일,4,18,두산,KT,잠실,서울_잠실,17158
2025,2025-04-30,,2025-04-30,수,평일,4,18,한화,LG,대전,대전,17000
2025,2025-04-30,,2025-04-30,수,평일,4,18,키움,롯데,고척,서울_고척,14367
2025,2025-04-30,,2025-04-30,수,평일,4,18,KIA,NC,광주,광주,15139
2025,2025-04-30,,2025-04-30,수,평일,4,18,SSG,삼성,문학,인천,18998
2025,2025-05-01,,2025-05-01,목,평일,5,18,두산,KT,잠실,서울_잠실,19883
2025,2025-05-01,,2025-05-01,목,평일,5,18,키움,롯데,고척,서울_고척,16000
2025,2025-05-01,,2025-05-01,목,평일,5,18,SSG,삼성,문학,인천,22993
2025,2025-05-02,,2025-05-02,금,평일,5,18,KIA,한화,광주,광주,20500
2025,2025-05-02,,2025-05-02,금,평일,5,18,롯데,NC,사직,부산,22669
2025,2025-05-02,,2025-05-02,금,평일,5,18,삼성,두산,대구,대구,24000
2025,2025-05-02,,2025-05-02,금,평일,5,18,LG,SSG,잠실,서울_잠실,23750
2025,2025-05-02,,2025-05-02,금,평일,5,18,KT,키움,수원,경기_수원,12275
2025,2025-05-03,,2025-05-03,토,주말,5,18,롯데,NC,사직,부산,22669
2025,2025-05-03,,2025-05-03,토,주말,5,18,삼성,두산,대구,대구,24000
2025,2025-05-03,,2025-05-03,토,주말,5,18,LG,SSG,잠실,서울_잠실,23750
2025,2025-05-03,,2025-05-03,토,주말,5,18,KT,키움,수원,경기_수원,15210
2025,2025-05-04,,2025-05-04,일,주말,5,18,KIA,한화,광주,광주,20500
2025,2025-05-04,,2025-05-04,일,주말,5,18,롯데,NC,사직,부산,22669
2025,2025-05-04,,2025-05-04,일,주말,5,18,삼성,두산,대구,대구,24000
2025,2025-05-04,,2025-05-04,일,주말,5,18,LG,SSG,잠실,서울_잠실,23750
